Agenda,ClassMaterial,Age,Experience,FAQ,Grades,Gender,"PostCOVID changes","Marca temporal",None,Other,OtherBot,Provided,Sector,Slack,"Messaging Organization",Telegram,Degrees,WhatsApp,Discipline
No,No,"Más de 55","más de 25 años",No,No,Hombre,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","10/02/2021 11:56:59",No,No,Yes,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,Yes,"Ciencias Sociales"
Yes,No,35-45,"15-25 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 12:58:48",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",Yes,"Grado, Máster, Doctorado",No,Ingeniería
Yes,No,45-55,"más de 25 años",No,Yes,Hombre,"No, no la usaba antes ni ahora.","10/02/2021 13:27:00",Yes,No,No,No,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,Grado,No,Humanidades
No,No,45-55,"5-15 años",No,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 13:35:21",No,No,No,Yes,University,No,"Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería",No,"Grado, Máster",No,Ingeniería
Yes,No,35-45,"5-15 años",Yes,No,Hombre,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","10/02/2021 13:45:32",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,Grado,No,Ingeniería
No,Yes,35-45,"15-25 años",No,No,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 13:48:05",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster, Títulos propios",No,Ingeniería
Yes,Yes,45-55,"15-25 años",Yes,Yes,Hombre,"Antes las usabas, pero ahora con mayor frecuencia.","10/02/2021 14:17:45",No,No,Yes,Yes,University,No,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",Yes,"Grado, Máster",Yes,Ciencias
Yes,Yes,45-55,"más de 25 años",No,Yes,Mujer,"No, antes la usaba y ahora la sigo usando.","10/02/2021 15:39:56",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,"Grado, Máster, Doctorado",Yes,Ingeniería
Yes,No,35-45,"5-15 años",Yes,Yes,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 15:56:01",No,No,No,Yes,University,No,"Un grupo con los estudiantes de mi asignatura",No,"Grado, Máster",No,Ingeniería
No,Yes,35-45,"5-15 años",No,No,Mujer,"Sí, he cambiado de plataforma de mensajería a otras más seguras.","10/02/2021 18:37:01",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",Yes,Doctorado,Yes,Ingeniería
Yes,No,25-35,"0-5 años",No,No,Mujer,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso.","10/02/2021 18:53:54",No,No,No,No,University,No,"Un grupo para el curso completo (profesores y estudiantes)",No,Grado,Yes,Humanidades
No,Yes,45-55,"15-25 años",Yes,Yes,Mujer,"No, antes la usaba y ahora la sigo usando.","10/02/2021 19:05:52",No,No,No,No,University,No,"Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes), Un grupo para el curso completo (profesores y estudiantes)",No,"Grado, Máster",Yes,"Ciencias Sociales"
No,No,35-45,"5-15 años",Yes,No,Hombre,"No, antes la usaba y ahora la sigo usando.","10/02/2021 19:22:21",No,No,No,No,University,No,"Un grupo con los estudiantes de mi asignatura",No,Grado,Yes,Ciencias
