"Marca temporal","¿Imparte docencia en enseñanza post-secundaria (Universidad, ciclos formativos, bachillerato, otra enseñanza pública o privada)?","Titulaciones que imparte","Área","Prefiere la interacción con el estudiante","La interacción con el estudiante prefiere que se lleve a cabo","¿Qué características valora en los medios informáticos de interacción con el estudiante?","Género","Edad (años)","Experiencia docente"
"2021/04/27 11:29:11 a. m. EET","Sí","Ciclos formativos de grado medio/superior;Máster u otro posgrado oficial","Ciencias","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono)","Hombre","35-45","15-25 años"
"2021/04/27 11:29:30 a. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","25-35","0-5 años"
"2021/04/27 11:30:13 a. m. EET","Sí","Enseñanza de Grado","Ciencias","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Mujer","45-55","15-25 años"
"2021/04/27 11:32:09 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","45-55","más de 25 años"
"2021/04/27 11:33:35 a. m. EET","Sí","Ciclos formativos de grado medio/superior;Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono)","Hombre","25-35","0-5 años"
"2021/04/27 11:37:48 a. m. EET","Sí","Enseñanza de Grado","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","Más de 55","más de 25 años"
"2021/04/27 11:40:08 a. m. EET","No","Enseñanza de Grado","Tecnología/Ingeniería","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","35-45","5-15 años"
"2021/04/27 11:42:19 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","35-45","15-25 años"
"2021/04/27 11:45:25 a. m. EET","Sí","Títulos propios;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","35-45","5-15 años"
"2021/04/27 11:46:24 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","35-45","5-15 años"
"2021/04/27 11:50:12 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","35-45","0-5 años"
"2021/04/27 11:51:53 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Prefiero no decirlo","45-55","más de 25 años"
"2021/04/27 11:55:50 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","45-55","más de 25 años"
"2021/04/27 12:01:17 p. m. EET","Sí","Enseñanza de Grado","Ciencias","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","45-55","más de 25 años"
"2021/04/27 12:02:27 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;La formación que se haya dado sobre el mismo de forma oficial.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","35-45","15-25 años"
"2021/04/27 12:03:52 p. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que me permitan extraer datos para evaluar el desempeño del estudiante","Prefiero no decirlo","45-55","más de 25 años"
"2021/04/27 12:04:19 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","45-55","15-25 años"
"2021/04/27 12:06:24 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La formación que se haya dado sobre el mismo de forma oficial.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","45-55","15-25 años"
"2021/04/27 12:06:33 p. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","25-35","0-5 años"
"2021/04/27 12:07:37 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La formación que se haya dado sobre el mismo de forma oficial.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","25-35","5-15 años"
"2021/04/27 12:08:12 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","Más de 55","más de 25 años"
"2021/04/27 12:08:46 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","45-55","más de 25 años"
"2021/04/27 12:14:33 p. m. EET","Sí","Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","25-35","0-5 años"
"2021/04/27 12:18:29 p. m. EET","Sí","Enseñanza de Grado","Biosanitaria","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","35-45","5-15 años"
"2021/04/27 12:20:47 p. m. EET","Sí","Enseñanza de Grado","Ciencias Sociales","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","Más de 55","más de 25 años"
"2021/04/27 12:21:31 p. m. EET","Sí","Enseñanza de Grado","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","45-55","5-15 años"
"2021/04/27 12:21:53 p. m. EET","Sí","Títulos propios;Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","45-55","15-25 años"
"2021/04/27 12:23:16 p. m. EET","Sí","Máster u otro posgrado oficial","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","35-45","5-15 años"
"2021/04/27 12:24:01 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","45-55","más de 25 años"
"2021/04/27 12:26:02 p. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","25-35","0-5 años"
"2021/04/27 12:29:38 p. m. EET","Sí","Enseñanza de Grado","Biosanitaria","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;La formación que se haya dado sobre el mismo de forma oficial.;Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","Más de 55","más de 25 años"
"2021/04/27 12:31:37 p. m. EET","Sí","Títulos propios;Enseñanza de Grado;Máster u otro posgrado oficial","","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","35-45","15-25 años"
"2021/04/27 12:33:03 p. m. EET","Sí","Títulos propios;Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias Sociales","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","Más de 55","más de 25 años"
"2021/04/27 12:36:32 p. m. EET","Sí","Enseñanza de Grado","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","25-35","0-5 años"
"2021/04/27 12:40:03 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Humanidades","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.","Hombre","35-45","5-15 años"
"2021/04/27 12:47:07 p. m. EET","Sí","Títulos propios;Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;La formación que se haya dado sobre el mismo de forma oficial.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","35-45","5-15 años"
"2021/04/27 12:49:45 p. m. EET","Sí","Enseñanza de Grado","Humanidades","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","25-35","5-15 años"
"2021/04/27 12:55:13 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Biosanitaria","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas","Hombre","35-45","5-15 años"
"2021/04/27 12:57:44 p. m. EET","Sí","Ciclos formativos de grado medio/superior;Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","45-55","más de 25 años"
"2021/04/27 1:03:55 p. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","25-35","0-5 años"
"2021/04/27 1:04:15 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Humanidades","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;La formación que se haya dado sobre el mismo de forma oficial.;Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","45-55","15-25 años"
"2021/04/27 1:13:27 p. m. EET","Sí","Enseñanza de Grado","Ciencias","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Mujer","45-55","15-25 años"
"2021/04/27 1:18:54 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","35-45","15-25 años"
"2021/04/27 1:35:53 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","45-55","5-15 años"
