AgendaBot,ClassMaterialBot,Age,Experience,FAQBot,GradesBot,Gender,"PostCOVID changes","Marca temporal",MessagingPlatformNone,MessagingPlatformOther,MessagingPlatformProvided,MessagingPlatformSlack,MessagingPlatformTelegram,MessagingPlatformWhatsApp,OtherBot,Sector,"Messaging Organization",Degrees,Discipline
Yes,Yes,45-55,"> 25 years",No,Yes,Female,"No, I did use it before, and use it now","10/02/2021 15:39:56",No,No,Yes,No,Yes,Yes,No,University,"A chat with my students in the same course","Undergrad, Master, PhD",Engineering
Yes,No,35-45,"06-15 years",Yes,Yes,Male,"No, I did use it before, and use it now","10/02/2021 15:56:01",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master",Engineering
No,Yes,35-45,"06-15 years",No,No,Female,"Yes, I use a safer messaging app now","10/02/2021 18:37:01",No,No,No,No,Yes,Yes,No,University,"A chat with my students in the same course",PhD,Engineering
Yes,No,25-35,"0-05 years",No,No,Female,"Yes, I didn't use any messaging app before, but do use it now","10/02/2021 18:53:54",No,No,No,No,No,Yes,No,University,"A chat with all students and teachers in the same semester/year",Undergrad,Humanities
No,Yes,45-55,"16-25 years",Yes,Yes,Female,"No, I did use it before, and use it now","10/02/2021 19:05:52",No,No,No,No,No,Yes,No,University,"A chat with all the students and teachers in my Faculty/School, A chat with all students and teachers in the same semester/year","Undergrad, Master","Social Sciences"
No,No,35-45,"06-15 years",Yes,No,Male,"No, I did use it before, and use it now","10/02/2021 19:22:21",No,No,No,No,No,Yes,No,University,"A chat with my students in the same course",Undergrad,Sciences
Yes,No,45-55,"> 25 years",No,Yes,Male,"No, I did use it before, and use it now","10/02/2021 19:22:31",No,Yes,No,No,No,Yes,No,University,"A chat with all the students and teachers in my Faculty/School, A chat with all students and teachers in the same semester/year","Undergrad, Master",Sciences
No,Yes,45-55,"06-15 years",No,No,Male,"No, I did use it before, and use it now","10/02/2021 19:24:01",No,No,Yes,No,No,Yes,No,University,"A chat with all students and teachers in the same semester/year",Master,"Social Sciences"
No,No,45-55,"06-15 years",Yes,No,Female,"Yes, I use a safer messaging app now","10/02/2021 19:24:15",No,Yes,No,No,No,Yes,No,University,"A chat with all the students and teachers in my Faculty/School",Undergrad,Sciences
Yes,Yes,45-55,"16-25 years",Yes,Yes,Male,"Yes, I use a safer messaging app now","10/02/2021 19:25:16",No,Yes,No,No,Yes,Yes,No,University,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year",Undergrad,"Social Sciences"
Yes,No,45-55,"16-25 years",No,No,Male,"Yes, I use a safer messaging app now","10/02/2021 19:55:11",No,No,No,No,No,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,"Social Sciences"
No,No,35-45,"06-15 years",Yes,Yes,Male,"No, I did use it before, and use it now","10/02/2021 20:13:11",No,No,Yes,No,No,No,No,University,"A chat with all students and teachers in the same semester/year",PhD,"Social Sciences"
No,No,45-55,"> 25 years",Yes,No,Female,"No, I did use it before, and use it now","10/02/2021 20:24:25",No,No,No,No,No,Yes,No,University,"A chat with my students in the same course",Master,"Social Sciences"
